0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:46:38 +0530] "GET /BookStoreWebsite/login HTTP/1.1" 200 3857
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:46:44 +0530] "POST /BookStoreWebsite/login HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:46:50 +0530] "POST /BookStoreWebsite/login HTTP/1.1" 200 765576
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:46:50 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:46:56 +0530] "GET /BookStoreWebsite/view_orders HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:05 +0530] "GET /BookStoreWebsite/show_order_detail?id=42 HTTP/1.1" 200 154006
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:13 +0530] "GET /BookStoreWebsite/view_profile HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:15 +0530] "GET /BookStoreWebsite/edit_profile HTTP/1.1" 200 24030
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:20 +0530] "GET /BookStoreWebsite/view_orders HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:22 +0530] "GET /BookStoreWebsite/show_order_detail?id=36 HTTP/1.1" 200 49761
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:24 +0530] "GET /BookStoreWebsite/view_orders HTTP/1.1" 200 5694
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:25 +0530] "GET /BookStoreWebsite/show_order_detail?id=34 HTTP/1.1" 200 49761
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:30 +0530] "GET /BookStoreWebsite/view_profile HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:31 +0530] "GET /BookStoreWebsite/view_category?id=15 HTTP/1.1" 200 51770
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:31 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:32 +0530] "GET /BookStoreWebsite/view_category?id=16 HTTP/1.1" 200 51793
0:0:0:0:0:0:0:1 - - [16/Aug/2020:20:47:32 +0530] "GET /css/style.css HTTP/1.1" 404 726
